iter	Passed	Remaining
640	16341	9152
641	16368	9127
642	16387	9098
643	16409	9071
644	16433	9044
645	16456	9017
646	16480	8991
647	16508	8967
648	16534	8942
649	16561	8917
650	16586	8892
651	16613	8867
652	16641	8843
653	16668	8818
654	16694	8793
655	16726	8771
656	16757	8748
657	16785	8724
658	16808	8697
659	16834	8672
660	16856	8644
661	16875	8616
662	16901	8591
663	16925	8564
664	16952	8540
665	16979	8515
666	17006	8490
667	17032	8465
668	17058	8439
669	17086	8415
670	17113	8391
671	17142	8367
672	17171	8343
673	17198	8318
674	17225	8293
675	17252	8268
676	17277	8242
677	17306	8219
678	17336	8195
679	17360	8169
680	17384	8143
681	17405	8115
682	17423	8086
683	17442	8058
684	17463	8030
685	17484	8003
686	17511	7978
687	17539	7953
688	17561	7926
689	17580	7898
690	17601	7870
691	17627	7845
692	17647	7817
693	17671	7791
694	17693	7764
695	17719	7739
696	17746	7714
697	17773	7690
698	17794	7662
699	17821	7637
700	17842	7610
701	17865	7584
702	17890	7558
703	17917	7533
704	17935	7505
705	17954	7476
706	17975	7449
707	17995	7422
708	18019	7395
709	18039	7368
710	18060	7341
711	18083	7314
712	18103	7287
713	18129	7262
714	18153	7236
715	18182	7212
716	18202	7184
717	18228	7159
718	18253	7134
719	18275	7107
720	18294	7079
721	18318	7053
722	18344	7028
723	18370	7003
724	18395	6977
725	18417	6950
726	18439	6924
727	18464	6898
728	18491	6873
729	18517	6848
730	18543	6823
731	18566	6797
732	18585	6769
733	18607	6743
734	18635	6719
735	18659	6692
736	18677	6665
737	18701	6639
738	18728	6614
739	18749	6587
740	18770	6560
741	18797	6536
742	18827	6512
743	18852	6486
744	18877	6461
745	18896	6434
746	18913	6405
747	18935	6379
748	18961	6354
749	18984	6328
750	19001	6300
751	19020	6272
752	19046	6247
753	19072	6222
754	19098	6197
755	19123	6172
756	19149	6147
757	19177	6122
758	19205	6098
759	19231	6073
760	19257	6047
761	19286	6023
762	19313	5999
763	19339	5974
764	19366	5949
765	19389	5923
766	19418	5899
767	19446	5874
768	19473	5849
769	19498	5824
770	19523	5798
771	19549	5773
772	19574	5748
773	19601	5723
774	19628	5698
775	19653	5673
776	19679	5648
777	19706	5623
778	19731	5597
779	19754	5571
780	19782	5547
781	19808	5522
782	19834	5497
783	19858	5471
784	19884	5446
785	19911	5421
786	19937	5396
787	19962	5370
788	19988	5345
789	20016	5320
790	20040	5295
791	20066	5269
792	20090	5244
793	20117	5219
794	20141	5193
795	20166	5168
796	20191	5142
797	20215	5117
798	20235	5090
799	20254	5063
800	20272	5036
801	20298	5011
802	20335	4988
803	20369	4965
804	20388	4938
805	20416	4914
806	20441	4888
807	20465	4863
808	20491	4837
809	20519	4813
810	20543	4787
811	20563	4760
812	20582	4734
813	20601	4707
814	20616	4679
815	20642	4654
816	20667	4629
817	20698	4605
818	20726	4580
819	20752	4555
820	20779	4530
821	20806	4505
822	20833	4480
823	20862	4456
824	20889	4431
825	20916	4406
826	20945	4381
827	20971	4356
828	20997	4331
829	21020	4305
830	21046	4280
831	21073	4255
832	21098	4229
833	21124	4204
834	21154	4180
835	21183	4155
836	21208	4130
837	21235	4105
838	21261	4079
839	21286	4054
840	21313	4029
841	21337	4003
842	21364	3978
843	21391	3953
844	21416	3928
845	21445	3903
846	21472	3878
847	21498	3853
848	21524	3828
849	21551	3803
850	21580	3778
851	21608	3753
852	21633	3728
853	21660	3703
854	21685	3677
855	21710	3652
856	21733	3626
857	21757	3600
858	21783	3575
859	21811	3550
860	21837	3525
861	21864	3500
862	21890	3475
863	21917	3449
864	21944	3424
865	21972	3399
866	21999	3374
867	22025	3349
868	22052	3324
869	22077	3298
870	22107	3274
871	22133	3248
872	22160	3223
873	22186	3198
874	22213	3173
875	22237	3147
876	22260	3122
877	22283	3096
878	22310	3071
879	22337	3046
880	22365	3021
881	22392	2995
882	22420	2970
883	22448	2945
884	22474	2920
885	22501	2895
886	22525	2869
887	22553	2844
888	22580	2819
889	22605	2793
890	22634	2769
891	22662	2743
892	22691	2718
893	22717	2693
894	22749	2668
895	22775	2643
896	22803	2618
897	22828	2592
898	22854	2567
899	22879	2542
900	22905	2516
901	22932	2491
902	22959	2466
903	22990	2441
904	23018	2416
905	23046	2391
906	23072	2365
907	23098	2340
908	23123	2314
909	23150	2289
910	23178	2264
911	23205	2239
912	23231	2213
913	23258	2188
914	23283	2162
915	23311	2137
916	23342	2112
917	23369	2087
918	23395	2062
919	23423	2036
920	23455	2011
921	23482	1986
922	23509	1961
923	23530	1935
924	23553	1909
925	23579	1884
926	23607	1859
927	23632	1833
928	23660	1808
929	23687	1782
930	23714	1757
931	23738	1732
932	23771	1707
933	23800	1681
934	23826	1656
935	23853	1631
936	23880	1605
937	23908	1580
938	23935	1554
939	23961	1529
940	23987	1503
941	24013	1478
942	24040	1453
943	24066	1427
944	24095	1402
945	24120	1376
946	24146	1351
947	24173	1325
948	24201	1300
949	24229	1275
950	24255	1249
951	24281	1224
